tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-2028,Abu Dhabi,Hard,64,P,20210106,300,214544,,,Aryna Sabalenka,R,,BLR,22.674880219,206289,,,Maria Sakkari,R,,GRE,25.453798768,6-3 6-2,3,SF,61,8,1,45,29,24,11,9,2,3,2,5,50,31,18,5,8,5,9,10,4220,22,2405
2021-2028,Abu Dhabi,Hard,64,P,20210106,299,206368,,,Veronika Kudermetova,R,,RUS,23.704312115,216146,,,Marta Kostyuk,R,,UKR,18.5270362765,7-6(8) 6-4,3,SF,103,7,4,86,40,27,18,11,2,6,6,6,70,46,28,7,11,4,9,46,1453,99,767
2021-2028,Abu Dhabi,Hard,64,P,20210106,298,206289,,,Maria Sakkari,R,,GRE,25.453798768,213550,,,Sofia Kenin,R,,USA,22.1464750171,2-6 6-2 6-0,3,QF,91,9,2,60,34,23,15,11,3,6,0,2,70,52,26,8,11,7,13,22,2405,4,5760
2021-2028,Abu Dhabi,Hard,64,P,20210106,297,214544,,,Aryna Sabalenka,R,,BLR,22.674880219,214981,,,Elena Rybakina,R,,RUS,21.5578370979,6-4 4-6 6-3,3,QF,118,4,5,98,63,45,19,15,3,5,12,4,79,44,30,21,14,4,7,10,4220,19,2696
2021-2028,Abu Dhabi,Hard,64,P,20210106,296,216146,,,Marta Kostyuk,R,,UKR,18.5270362765,204427,,,Sara Sorribes Tormo,R,,ESP,24.2464065708,0-6 6-1 6-4,3,QF,117,0,3,78,55,30,8,12,5,12,0,0,67,56,25,6,11,2,9,99,767,66,1040
2021-2028,Abu Dhabi,Hard,64,P,20210106,295,206368,,,Veronika Kudermetova,R,,RUS,23.704312115,202494,,,Elina Svitolina,R,174,UKR,26.3189596167,5-7 6-3 7-6(3),3,QF,155,11,1,115,69,49,20,17,7,11,4,4,101,57,40,22,16,7,11,46,1453,5,5260
2021-2028,Abu Dhabi,Hard,64,P,20210106,294,213550,,,Sofia Kenin,R,,USA,22.1464750171,201709,,,Yulia Putintseva,R,,KAZ,25.9986310746,3-6 7-6(5) 6-4,3,R16,161,0,7,99,59,39,20,15,7,12,6,6,135,88,56,19,16,7,12,4,5760,28,2015
2021-2028,Abu Dhabi,Hard,64,P,20210106,293,206289,,,Maria Sakkari,R,,GRE,25.453798768,202469,,,Garbine Muguruza,R,182,ESP,27.2470910335,7-5 6-4,3,R16,112,11,5,76,40,30,21,11,12,13,1,1,81,59,36,11,11,6,9,22,2405,15,3016
2021-2028,Abu Dhabi,Hard,64,P,20210106,292,214544,,,Aryna Sabalenka,R,,BLR,22.674880219,202460,,,Ons Jabeur,R,,TUN,26.3600273785,6-2 6-4,3,R16,67,1,6,48,26,20,9,9,1,3,4,3,58,28,14,14,9,4,9,10,4220,31,1883
2021-2028,Abu Dhabi,Hard,64,P,20210106,291,214981,,,Elena Rybakina,R,,RUS,21.5578370979,214082,,,Darya Kasatkina,R,,RUS,23.6687200548,6-3 6-4,3,R16,68,4,2,49,30,23,15,10,0,1,0,5,56,32,21,11,9,5,8,19,2696,72,985
2021-2028,Abu Dhabi,Hard,64,P,20210106,290,216146,,,Marta Kostyuk,R,,UKR,18.5270362765,214461,,,Tamara Zidansek,R,,SLO,23.0308008214,6-1 6-1,3,R16,53,1,0,40,27,21,7,7,0,0,0,1,44,32,14,5,7,5,10,99,767,87,840
2021-2028,Abu Dhabi,Hard,64,P,20210106,289,204427,,,Sara Sorribes Tormo,R,,ESP,24.2464065708,214181,,Q,Anastasia Gasanova,U,,RUS,21.6481861739,7-5 6-3,3,R16,124,0,5,74,55,30,10,11,3,7,0,2,68,51,26,6,10,4,10,66,1040,292,211
2021-2028,Abu Dhabi,Hard,64,P,20210106,288,206368,,,Veronika Kudermetova,R,,RUS,23.704312115,211651,,,Paula Badosa,R,,ESP,23.1430527036,6-4 4-6 6-1,3,R16,110,10,5,76,38,31,14,13,6,10,5,8,79,46,31,10,14,4,11,46,1453,70,1018
2021-2028,Abu Dhabi,Hard,64,P,20210106,287,202494,,,Elina Svitolina,R,174,UKR,26.3189596167,206420,,,Ekaterina Alexandrova,R,,RUS,26.1437371663,6-2 6-7(5) 7-6(8),3,R16,151,6,4,117,67,48,20,16,14,19,1,8,113,59,34,23,16,6,13,5,5260,33,1775
2021-2028,Abu Dhabi,Hard,64,P,20210106,286,213550,,,Sofia Kenin,R,,USA,22.1464750171,201465,,,Kirsten Flipkens,R,165,BEL,34.9897330595,5-7 5-4,3,R32,101,1,4,61,42,21,9,11,2,7,5,3,82,58,30,13,11,7,12,4,5760,86,878
2021-2028,Abu Dhabi,Hard,64,P,20210106,285,201709,,,Yulia Putintseva,R,,KAZ,25.9986310746,206252,,,Barbora Krejcikova,R,,CZE,25.054072553,6-4 7-5,3,R32,119,3,1,73,59,38,11,11,6,7,3,1,87,59,35,15,11,13,16,28,2015,65,1071
2021-2028,Abu Dhabi,Hard,64,P,20210106,284,206289,,,Maria Sakkari,R,,GRE,25.453798768,221103,,,Cori Gauff,R,,USA,16.8186173854,7-5 6-2,3,R32,88,4,9,66,34,22,17,10,6,9,1,6,66,37,19,13,10,7,13,22,2405,48,1364
2021-2028,Abu Dhabi,Hard,64,P,20210106,283,202469,,,Garbine Muguruza,R,182,ESP,27.2470910335,205925,,,Aliaksandra Sasnovich,R,,BLR,26.7953456537,6-1 6-4,3,R32,80,2,3,50,33,23,5,8,4,7,1,2,62,45,21,5,9,8,15,15,3016,90,833
2021-2028,Abu Dhabi,Hard,64,P,20210106,282,214544,,,Aryna Sabalenka,R,,BLR,22.674880219,201548,,,Ajla Tomljanovic,R,,AUS,27.6687200548,7-5 6-4,3,R32,100,3,9,64,40,29,6,11,4,9,4,5,85,59,33,7,11,4,11,10,4220,68,1035
2021-2028,Abu Dhabi,Hard,64,P,20210106,281,202460,,,Ons Jabeur,R,,TUN,26.3600273785,201435,,Q,Kateryna Bondarenko,R,175,UKR,34.4147843943,5-7 6-3,3,R32,116,11,2,92,43,31,29,14,8,10,1,5,101,52,32,25,15,9,14,31,1883,285,219
2021-2028,Abu Dhabi,Hard,64,P,20210106,280,214082,,,Darya Kasatkina,R,,RUS,23.6687200548,214096,,,Karolina Muchova,R,,CZE,24.3778234086,W/O,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,985,27,2036
2021-2028,Abu Dhabi,Hard,64,P,20210106,279,214981,,,Elena Rybakina,R,,RUS,21.5578370979,216016,,,Xiyu Wang,L,,CHN,19.7782340862,6-4 6-4,3,R32,93,3,1,65,32,27,19,10,2,2,5,2,53,32,25,12,10,1,3,19,2696,123,623
2021-2028,Abu Dhabi,Hard,64,P,20210106,278,216146,,,Marta Kostyuk,R,,UKR,18.5270362765,201444,,,Su Wei Hsieh,R,169,TPE,35.0061601643,6-3 6-7(4),3,R32,134,2,7,93,61,36,14,16,2,8,0,4,102,72,40,10,14,6,14,99,767,67,1035
2021-2028,Abu Dhabi,Hard,64,P,20210106,277,214461,,,Tamara Zidansek,R,,SLO,23.0308008214,220367,,,Leylah Annie Fernandez,L,,CAN,18.3353867214,6-4 6-4,3,R32,84,0,3,62,49,32,8,10,4,6,0,7,54,28,20,9,10,1,5,87,840,88,838
2021-2028,Abu Dhabi,Hard,64,P,20210106,276,204427,,,Sara Sorribes Tormo,R,,ESP,24.2464065708,211095,,,Bernarda Pera,L,,USA,26.0944558522,5-7 6-3 6-4,3,R32,203,0,2,113,83,47,14,15,10,16,1,14,126,78,45,18,16,12,20,66,1040,62,1105
2021-2028,Abu Dhabi,Hard,64,P,20210106,275,214181,,Q,Anastasia Gasanova,U,,RUS,21.6481861739,201662,,,Karolina Pliskova,R,184,CZE,28.7967145791,6-2 6-4,3,R32,75,0,0,54,42,28,8,9,5,6,9,3,61,40,25,7,9,5,9,292,211,6,5205
2021-2028,Abu Dhabi,Hard,64,P,20210106,274,211651,,,Paula Badosa,R,,ESP,23.1430527036,201427,,,Alize Cornet,R,173,FRA,30.9568788501,6-4 6-4,3,R32,104,2,7,69,40,29,15,10,3,4,1,1,69,50,32,8,10,5,8,70,1018,53,1290
2021-2028,Abu Dhabi,Hard,64,P,20210106,273,206368,,,Veronika Kudermetova,R,,RUS,23.704312115,213926,,Q,Bianca Turati,U,,ITA,23.5564681725,6-2 6-1,3,R32,76,2,1,48,28,21,12,7,1,1,0,8,62,41,25,4,8,5,10,46,1453,318,179
2021-2028,Abu Dhabi,Hard,64,P,20210106,272,206420,,,Ekaterina Alexandrova,R,,RUS,26.1437371663,201586,,,Heather Watson,R,170,GBR,28.6351813826,7-5 6-7(7) 6-3,3,R32,150,17,13,136,76,58,24,17,6,9,8,6,100,61,43,19,16,5,10,33,1775,58,1156
2021-2028,Abu Dhabi,Hard,64,P,20210106,271,202494,,,Elina Svitolina,R,174,UKR,26.3189596167,201329,,,Vera Zvonareva,R,172,RUS,36.3312799452,6-4 6-1,3,R32,69,2,2,42,23,18,13,8,1,2,1,4,53,40,23,3,9,1,6,5,5260,164,440
2021-2028,Abu Dhabi,Hard,64,P,20210106,270,213550,,,Sofia Kenin,R,,USA,22.1464750171,206107,,Q,Zhaoxuan Yang,R,,CHN,25.9028062971,7-6(4) 6-2,3,R64,115,11,8,98,53,38,19,10,14,16,4,7,92,57,32,16,11,9,12,4,5760,789,27
2021-2028,Abu Dhabi,Hard,64,P,20210106,269,201465,,,Kirsten Flipkens,R,165,BEL,34.9897330595,201696,,,Laura Siegemund,R,,GER,32.8432580424,5-7 7-5 6-4,3,R64,184,1,4,123,81,47,21,17,8,13,2,10,96,60,41,15,17,6,12,86,878,51,1331
2021-2028,Abu Dhabi,Hard,64,P,20210106,268,206252,,,Barbora Krejcikova,R,,CZE,25.054072553,211222,,,Jamie Loeb,R,,USA,25.8343600274,6-1 6-3,3,R64,67,2,0,56,28,23,14,8,0,0,2,1,44,27,17,5,8,2,6,65,1071,255,248
2021-2028,Abu Dhabi,Hard,64,P,20210106,267,201709,,,Yulia Putintseva,R,,KAZ,25.9986310746,203354,,,Martina Trevisan,L,,ITA,27.1759069131,6-3 6-3,3,R64,84,2,4,58,40,28,12,9,5,5,1,4,55,33,24,11,9,4,7,28,2015,85,879
2021-2028,Abu Dhabi,Hard,64,P,20210106,266,206289,,,Maria Sakkari,R,,GRE,25.453798768,215713,,,Anastasia Potapova,R,,RUS,19.7727583847,6-4 6-2,3,R64,89,7,1,56,30,27,13,9,4,4,1,6,70,33,20,19,9,5,8,22,2405,101,759
2021-2028,Abu Dhabi,Hard,64,P,20210106,265,221103,,,Cori Gauff,R,,USA,16.8186173854,205918,,ALT,Ulrikke Eikeri,U,,NOR,28.0574948665,6-0 6-1,3,R64,70,3,3,52,46,31,4,7,6,6,0,4,45,39,15,4,6,5,11,48,1364,260,245
