tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,001,200150,1,,Evonne Cawley,R,,AUS,,,,200225,,,Helen Worland,R,,AUS,,,,6-0 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,002,200161,,,Janine Whyte,U,,AUS,,,,200222,,,Anne Coleman,U,,AUS,,,,6-4 6-2,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,003,200226,,,Mona Guerrant,U,,USA,,,,200174,,,Kerry Wilkinson,U,,AUS,,,,6-1 6-2,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,004,200179,8,,Barbara Hawcroft,U,,AUS,,,,200227,,,Diane James,U,,AUS,,,,7-5 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,005,200228,5,,Olga Morozova,U,,URS,,,,200132,,,Kay Williams,U,,AUS,,,,6-0 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,006,200199,,,Sally Irvine,U,,AUS,,,,200229,,,Robyn Knobel,U,,AUS,,,,6-2 6-4,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,007,200148,,,Marilyn Tesch,U,,AUS,,,,200208,,,Mandy Morgan,U,,AUS,,,,6-4 6-2,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,008,200184,4,,Helen Cawley,U,,AUS,,,,200230,,,Patricia Billing,U,,AUS,,,,6-1 6-2,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,009,200152,3,,Gail Benedetti,R,,FRA,,,,200231,,,Brenda Dart,U,,AUS,,,,6-2 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,010,200171,,,Janet Young,U,,AUS,,,,200232,,,Ann Lebedeff,U,,USA,,,,6-0 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,011,200209,,,Wendy Turnbull,U,,AUS,,,,200138,,,Sandra Hole,U,,AUS,,,,6-0 6-4,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,012,200145,6,,Kerry Harris,U,,AUS,,,,200233,,,Christine Dorey,U,,AUS,,,,6-3 6-2,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,013,200168,7,,Karen Krantzcke,R,,AUS,,,,200234,,,Pam Whytcross,U,,AUS,,,,6-2 6-0,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,014,200219,,,Patricia Coleman,U,,AUS,,,,200235,,,Maureen Pratt,U,,AUS,,,,6-3 6-3,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,015,200205,,,Judy Harris,U,,AUS,,,,200236,,,Patricia King,U,,AUS,,,,6-3 5-7 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,016,200237,2,,Virginia Wade,R,,GBR,,,,200207,,,Cheryl Norquay,U,,AUS,,,,6-3 6-1,3,R32
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,017,200150,1,,Evonne Cawley,R,,AUS,,,,200161,,,Janine Whyte,U,,AUS,,,,6-3 6-1,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,018,200179,8,,Barbara Hawcroft,U,,AUS,,,,200226,,,Mona Guerrant,U,,USA,,,,5-7 7-5 6-3,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,019,200228,5,,Olga Morozova,U,,URS,,,,200199,,,Sally Irvine,U,,AUS,,,,7-5 4-6 6-1,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,020,200184,4,,Helen Cawley,U,,AUS,,,,200148,,,Marilyn Tesch,U,,AUS,,,,6-3 7-6,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,021,200152,3,,Gail Benedetti,R,,FRA,,,,200171,,,Janet Young,U,,AUS,,,,7-5 4-6 6-1,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,022,200145,6,,Kerry Harris,U,,AUS,,,,200209,,,Wendy Turnbull,U,,AUS,,,,6-1 7-6,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,023,200219,,,Patricia Coleman,U,,AUS,,,,200168,7,,Karen Krantzcke,R,,AUS,,,,7-6 5-7 6-1,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,024,200237,2,,Virginia Wade,R,,GBR,,,,200205,,,Judy Harris,U,,AUS,,,,6-1 6-0,3,R16
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,025,200150,1,,Evonne Cawley,R,,AUS,,,,200179,8,,Barbara Hawcroft,U,,AUS,,,,6-1 3-6 6-1,3,QF
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,026,200184,4,,Helen Cawley,U,,AUS,,,,200228,5,,Olga Morozova,U,,URS,,,,6-2 6-1,3,QF
1972-W-SL-AUS-01A-1972,Australian Open,Grass,32,G,19711227,027,200145,6,,Kerry Harris,U,,AUS,,,,200152,3,,Gail Benedetti,R,,FRA,,,,6-3 7-6,3,QF
