tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,1,200919,,,Elvira Weisenberger,U,,ARG,23.4058863792,203704,,,Gina Diaz Ponce,U,,MEX,17.6454483231,6-3 7-6,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,2,203705,,,Susanne Korpas,U,,GER,,200846,,,Michelle Rodriguez,U,,CHI,,7-5 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,3,200907,,,Carmen Perea Alcala,U,,ESP,21.0485968515,200326,,,Naoko Sato,U,,JPN,18.3819301848,6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,4,200913,,,Monica Rho,U,,CRC,17.5715263518,200972,,,Dominique Beillan,U,,FRA,17.993155373,6-3 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,5,200873,,,Ana Maria Arias,U,,CHI,26.8254620123,203706,,,Mi Ok Lee,U,,KOR,21.3607118412,6-7 7-5 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,6,200903,,,Hideko Goto,U,,JPN,24.1423682409,200872,,,Nicole Bimes,U,,FRA,24.6707734428,6-2 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,7,200241,,,Duk Hee Lee,U,,KOR,19.8548939083,200146,,,Cynthia Doerner,U,,AUS,22.2724161533,6-7 7-6 7-5,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,8,200755,,,Daniela Marzano,U,,ITA,22.9541409993,203685,,,Jacqueline Le Boubennec,U,,FRA,31.1759069131,6-0 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,9,200791,,,Rosy Darmon,U,,FRA,34.1629021218,200855,,,Erzsebet Polgar,U,,HUN,,6-1 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,10,203708,,,Ines Roget,U,,ARG,23.2498288843,202213,,,Bunny Smith,U,,USA,26.8117727584,6-3 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,11,201129,,,Marilyn Pryde,U,,NZL,21.015742642,200842,,,Evelyne Terras,U,,FRA,28.6516084873,2-6 6-4 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,12,200906,,,Carmen Ibarra,U,,CHI,,203709,,,Estela Benavides,U,,ESP,26.3737166324,6-3 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,13,203710,,,Maria Teresa Salvidea Diaz,U,,MEX,24.2628336756,203711,,,J Ray,U,,USA,,7-5 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,14,200832,,,Daniele Bouteleux,U,,FRA,32.4982888433,200853,,,Anne Marie Rouchon,U,,FRA,35.3155373032,W/O,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,15,200908,,,Miroslava Bendlova,U,,CZE,21.4291581109,203698,,,Christiane Sarrazin,U,,FRA,,W/O,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,16,200891,,,Daphne Pattison,U,,ZIM,24.93908282,203703,,,Chantal Puget,U,,FRA,,6-1 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,17,200314,,,Brigitte Simon Glinel,U,,FRA,16.5503080082,200920,,,Kayoko Fukuoka,U,,JPN,23.8028747433,7-5 0-6 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,18,200328,,,Patricia Bostrom,U,,USA,21.4866529774,200919,,,Elvira Weisenberger,U,,ARG,23.4058863792,6-1 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,19,203686,,,Michele Mizen,U,,FRA,,203705,,,Susanne Korpas,U,,GER,,7-5 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,20,200907,,,Carmen Perea Alcala,U,,ESP,21.0485968515,200913,,,Monica Rho,U,,CRC,17.5715263518,6-4 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,21,203691,,,Anne Marie Cassaigne,U,,FRA,22.1875427789,200873,,,Ana Maria Arias,U,,CHI,26.8254620123,6-4 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,22,200285,,,Mimi Wikstedt,U,,SWE,19.0581793292,203696,,,Maria Hollingsworth,U,,AUT,,6-0 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,23,200903,,,Hideko Goto,U,,JPN,24.1423682409,200241,,,Duk Hee Lee,U,,KOR,19.8548939083,6-2 4-6 6-1,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,24,200755,,,Daniela Marzano,U,,ITA,22.9541409993,200252,,,Monique Van Haver,U,,BEL,24.720054757,4-6 6-1 6-3,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,25,200909,,,Florence Guedy,U,,FRA,18.4531143053,203707,,,Andrea Menezes,U,,BRA,,7-6 6-2,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,26,200791,,,Rosy Darmon,U,,FRA,34.1629021218,203708,,,Ines Roget,U,,ARG,23.2498288843,6-3 6-2,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,27,200245,,,Soon Oh Lee,U,,KOR,19.627652293,200946,,,Sylvie Rual,U,,FRA,,6-4 6-7 6-2,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,28,200280,,,Joy Schwikert,U,,USA,19.0061601643,201129,,,Marilyn Pryde,U,,NZL,21.015742642,6-4 6-4,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,29,200906,,,Carmen Ibarra,U,,CHI,,203710,,,Maria Teresa Salvidea Diaz,U,,MEX,24.2628336756,6-2 0-6 7-5,3,Q2,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,30,200832,,,Daniele Bouteleux,U,,FRA,32.4982888433,200908,,,Miroslava Bendlova,U,,CZE,21.4291581109,6-3 4-3 Played and unfinished,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,31,200891,,,Daphne Pattison,U,,ZIM,24.93908282,200314,,,Brigitte Simon Glinel,U,,FRA,16.5503080082,6-4 3-6 6-2,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,32,200328,,,Patricia Bostrom,U,,USA,21.4866529774,203686,,,Michele Mizen,U,,FRA,,6-3 6-0,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,33,200907,,,Carmen Perea Alcala,U,,ESP,21.0485968515,203691,,,Anne Marie Cassaigne,U,,FRA,22.1875427789,6-3 6-2,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,34,200285,,,Mimi Wikstedt,U,,SWE,19.0581793292,200903,,,Hideko Goto,U,,JPN,24.1423682409,6-2 0-6 Played and unfinished,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,35,200755,,,Daniela Marzano,U,,ITA,22.9541409993,200909,,,Florence Guedy,U,,FRA,18.4531143053,6-1 6-7 2-1 Played and unfinished,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,36,200791,,,Rosy Darmon,U,,FRA,34.1629021218,200245,,,Soon Oh Lee,U,,KOR,19.627652293,6-1 0-6 6-1,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
1973-W-SL-FRA-01A-1973,Roland Garros,Clay,64,G,19730521,37,200280,,,Joy Schwikert,U,,USA,19.0061601643,200906,,,Carmen Ibarra,U,,CHI,,6-3 4-6 6-3,3,Q3,,,,,,,,,,,,,,,,,,,,,,,
