tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1976-1002-1976,Houston,Hard,4,W,19760112,1,200320,,,Renata Tomanova,U,,GER,21.0924024641,201156,,,Stephanie Tolleson,U,,USA,19.8001368925,6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1002-1976,Houston,Hard,4,W,19760112,2,200324,,,Beth Norton,U,,USA,18.5817932923,200184,,,Helen Cawley,U,,AUS,29.054072553,6-2 3-6 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1004,Landover,Carpet,32,W,19760118,201,200371,,,Mima Jausovec,U,,SLO,19.4962354552,200896,,,Nancy Ornstein,U,,USA,23.4661190965,6-1 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1004,Landover,Carpet,32,W,19760118,202,200894,,,Isabel Fernandez De Soto,U,,COL,25.3333333333,200932,,,Jeanne Evert,U,,USA,18.2861054073,6-1 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1005,Chicago,Carpet,32,W,19760126,201,200460,,,Regina Marsikova,U,,CZE,17.1252566735,200390,,,Mary Lou Daniels,R,,USA,14.4722792608,7-5 6-1,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1005,Chicago,Carpet,32,W,19760126,202,200935,,,Florenta Mihai,U,,ROU,20.3997262149,223488,,,Laura Epstein,U,,USA,,6-3 7-6(2),3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1006,Akron,Carpet,32,W,19760203,201,200226,,,Mona Guerrant,U,,USA,27.1813826146,200184,,,Helen Cawley,U,,AUS,29.1143052704,6-3 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1006,Akron,Carpet,32,W,19760203,202,200243,,,Glynis Coles,U,,GBR,21.9520876112,200935,,,Florenta Mihai,U,,ROU,20.4216290212,5-7 6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1007,Detroit,Carpet,32,W,19760217,201,201136,,,Patricia Faulkner,R,,USA,30.4722792608,200184,,,Helen Cawley,U,,AUS,29.1526351814,6-4 6-3,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1007,Detroit,Carpet,32,W,19760217,202,200894,,,Isabel Fernandez De Soto,U,,COL,25.4154688569,200460,,,Regina Marsikova,U,,CZE,17.1854893908,6-7(2) 6-4 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1008,Sarasota,Carpet,31,W,19760223,201,200942,,,Kathy Kuykendall,U,,USA,19.2498288843,200221,,,Dianne Balestrat,U,,AUS,19.537303217,7-6(1) 6-2,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1008,Sarasota,Carpet,31,W,19760223,202,200957,,,Ruta Gerulaitis,U,,USA,20.2655715264,200758,,,Rayni Fox,U,,USA,19.7508555784,6-2 4-6 7-6(3),3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1009,San Francisco,Carpet,32,W,19760301,201,200947,,,Susie Mehmedbasich,U,,USA,18.4558521561,200904,,,Kristien Shaw,U,,USA,23.6002737851,7-6(4) 6-4,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
1976-1009,San Francisco,Carpet,32,W,19760301,202,200393,,,Lea Antonoplis,U,,USA,17.1115674196,201148,,,Roberta Stark,U,,USA,19.6632443532,W/O,3,Q1,,,,,,,,,,,,,,,,,,,,,,,
