tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1966-D001,Fed Cup WG R2: ITA vs RHO,Clay,4,D,19660512,1,200789,,,Lea Pericoli,U,,ITA,31.1,200845,,,Patricia Walkden,R,,RSA,20.2,6-2 4-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D001,Fed Cup WG R2: ITA vs RHO,Clay,4,D,19660512,2,201116,,,Maria Teresa Riedl,R,,ITA,28.4,200249,,,Joan Walker,U,,ZIM,,6-1 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D002,Fed Cup WG R2: GBR vs CAN,Clay,4,D,19660512,1,200193,,,Ann Jones,L,,GBR,27.5,201139,,,Vicky Berner,U,,CAN,20.7,6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D002,Fed Cup WG R2: GBR vs CAN,Clay,4,D,19660512,2,200211,,,Winnie Shaw,R,,GBR,19.3,200818,,,Faye Urban,R,,CAN,20.5,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D003,Fed Cup WG SF: FRG vs AUS,Clay,4,D,19660514,1,200781,,,Edda Buding,R,,FRG,29.4,200160,,,Judy Tegart,R,,AUS,28.4,8-10 6-4 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D003,Fed Cup WG SF: FRG vs AUS,Clay,4,D,19660514,2,200317,,,Helga Masthoff,R,,FRG,24.5,200168,,,Karen Krantzcke,R,188,AUS,19.2,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D004,Fed Cup WG QF: NED vs AUS,Clay,4,D,19660513,1,200356,,,Betty Stove,R,185,NED,20.8,200152,,,Gail Sherriff,R,,FRA,21.1,6-2 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D004,Fed Cup WG QF: NED vs AUS,Clay,4,D,19660513,2,200160,,,Judy Tegart,R,,AUS,28.4,212364,,,Elsie Spruyt,U,,NED,22.4,6-0 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D005,Fed Cup WG R1: RHO vs AUT,Clay,4,D,19660510,1,200845,,,Patricia Walkden,R,,RSA,20.2,200890,,,Sonja Pachta,R,,AUT,25.0,6-2 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D005,Fed Cup WG R1: RHO vs AUT,Clay,4,D,19660510,2,200249,,,Joan Walker,U,,ZIM,,212417,,,Monika Hassmann,U,,AUT,,11-9 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D006,Fed Cup WG R1: SWE vs MAR,Clay,4,D,19660510,1,200214,,,Christina Sandberg,R,,SWE,18.3,212441,,,Jacqueline Morales,U,,MAR,29.7,7-9 6-3 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D006,Fed Cup WG R1: SWE vs MAR,Clay,4,D,19660510,2,200823,,,Eva Lundquist,U,,SWE,21.3,200893,,,Francoise Repoux,U,,FRA,30.5,6-2 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D007,Fed Cup WG R2: ARG vs FRG,Clay,4,D,19660512,1,200781,,,Edda Buding,R,,FRG,29.4,212482,,,Norma Baylon,R,,ARG,23.5,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D007,Fed Cup WG R2: ARG vs FRG,Clay,4,D,19660512,2,200317,,,Helga Masthoff,R,,FRG,24.4,201119,,,Graciela Moran,U,,ARG,18.2,6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D008,Fed Cup WG R2: USA vs SWE,Clay,4,D,19660512,1,200190,,,Billie Jean King,R,168,USA,22.4,200214,,,Christina Sandberg,R,,SWE,18.3,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D008,Fed Cup WG R2: USA vs SWE,Clay,4,D,19660512,2,200274,,,Julie Heldman,R,170,USA,20.4,200823,,,Eva Lundquist,U,,SWE,21.4,6-4 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D009,Fed Cup WG R1: BUL vs CAN,Clay,4,D,19660510,1,200836,,,Maria Chakarova,U,,BUL,28.1,201139,,,Vicky Berner,U,,CAN,20.7,6-2 1-6 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D009,Fed Cup WG R1: BUL vs CAN,Clay,4,D,19660510,2,200818,,,Faye Urban,R,,CAN,20.5,200798,,,Lubka Radkova,U,,BUL,21.1,6-3 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D010,Fed Cup WG R2: FRA vs HUN,Clay,4,D,19660512,1,200194,,,Francoise Durr,R,162,FRA,23.3,212525,,,Klara Bardoczy,U,,HUN,,6-2 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D010,Fed Cup WG R2: FRA vs HUN,Clay,4,D,19660512,2,200898,,,Erzsebet Szell,U,,HUN,20.4,200842,,,Evelyne Terras,U,,FRA,21.6,6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D011,Fed Cup WG QF: USA vs FRA,Clay,4,D,19660513,1,200274,,,Julie Heldman,R,170,USA,20.4,200835,,,Janine Lieffrig,R,,FRA,28.0,6-0 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D011,Fed Cup WG QF: USA vs FRA,Clay,4,D,19660513,2,200190,,,Billie Jean King,R,168,USA,22.4,200194,,,Francoise Durr,R,162,FRA,23.3,5-7 6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D012,Fed Cup WG F: USA vs FRG,Clay,4,D,19660515,1,200274,,,Julie Heldman,R,170,USA,20.4,200317,,,Helga Masthoff,R,,FRG,24.5,4-6 7-5 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D012,Fed Cup WG F: USA vs FRG,Clay,4,D,19660515,2,200190,,,Billie Jean King,R,168,USA,22.4,200781,,,Edda Buding,R,,FRG,29.5,6-3 3-6 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D013,Fed Cup WG R2: SUI vs AUS,Clay,4,D,19660512,1,200160,,,Judy Tegart,R,,AUS,28.4,212532,,,Sonja Fetz,U,,SUI,,6-0 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D013,Fed Cup WG R2: SUI vs AUS,Clay,4,D,19660512,2,200152,,,Gail Sherriff,R,,FRA,21.1,200797,,,Anne Marie Studer,U,,SUI,,6-1 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D015,Fed Cup WG SF: USA vs GBR,Clay,4,D,19660514,1,200274,,,Julie Heldman,R,170,USA,20.4,200211,,,Winnie Shaw,R,,GBR,19.3,6-4 5-7 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D015,Fed Cup WG SF: USA vs GBR,Clay,4,D,19660514,2,200193,,,Ann Jones,L,,GBR,27.6,200190,,,Billie Jean King,R,168,USA,22.4,6-1 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D016,Fed Cup WG QF: GBR vs TCH,Clay,4,D,19660513,1,200211,,,Winnie Shaw,R,,GBR,19.3,200783,,,Jitka Horcickova,U,,TCH,,6-4 7-9 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D016,Fed Cup WG QF: GBR vs TCH,Clay,4,D,19660513,2,200193,,,Ann Jones,L,,GBR,27.5,200785,,,Vlasta Kodesova,U,,CZE,22.1,4-6 6-2 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D017,Fed Cup WG QF: ITA vs FRG,Clay,4,D,19660513,1,200317,,,Helga Masthoff,R,,FRG,24.5,201116,,,Maria Teresa Riedl,R,,ITA,28.4,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D017,Fed Cup WG QF: ITA vs FRG,Clay,4,D,19660513,2,200781,,,Edda Buding,R,,FRG,29.4,200789,,,Lea Pericoli,U,,ITA,31.1,4-6 6-3 7-5,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D018,Fed Cup WG R2: NED vs RSA,Clay,4,D,19660512,1,200810,,,Annette Van Zyl,R,180,RSA,22.6,212364,,,Elsie Spruyt,U,,NED,22.4,6-4 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D018,Fed Cup WG R2: NED vs RSA,Clay,4,D,19660512,2,200887,,,Trudy Groenman,L,,NED,22.3,200782,,,Esme Emmanuel,U,,RSA,18.9,6-3 1-6 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D019,Fed Cup WG R1: HUN vs BEL,Clay,4,D,19660510,1,212525,,,Klara Bardoczy,U,,HUN,,201100,,,Christiane Mercelis,R,,BEL,34.5,3-6 7-5 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D019,Fed Cup WG R1: HUN vs BEL,Clay,4,D,19660510,2,200898,,,Erzsebet Szell,U,,HUN,20.4,212455,,,Michele Kahn,U,,BEL,27.2,6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D020,Fed Cup WG R2: TCH vs POL,Clay,4,D,19660512,1,200785,,,Vlasta Kodesova,U,,CZE,22.1,212614,,,Danuta Rylska,U,,POL,27.5,6-2 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-D020,Fed Cup WG R2: TCH vs POL,Clay,4,D,19660512,2,200783,,,Jitka Horcickova,U,,TCH,,212489,,,Barbara Olszewska,U,,POL,22.4,6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,1,200193,,,Ann Jones,L,,GBR,27.2,216622,,,Valerie Forbes,U,,RSA,28.8,6-3 6-0,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,2,212593,,,Glenda Swan,U,,RSA,20.1,200796,,,Sally Holdsworth,U,,GBR,21.8,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,3,200193,,,Ann Jones,L,,GBR,27.2,200779,,,Maryna Godwin,R,,RSA,21.2,6-3 6-1,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,4,200194,,,Francoise Durr,R,162,FRA,23.0,212593,,,Glenda Swan,U,,RSA,20.1,0-6 6-0 6-2,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,5,200835,,,Janine Lieffrig,R,,FRA,27.7,200845,,,Patricia Walkden,R,,RSA,19.8,6-2 8-6,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,6,200810,,,Annette Van Zyl,R,180,RSA,22.2,224470,,,Eunice Passmore,U,,RSA,,6-1 6-2,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,7,200193,,,Ann Jones,L,,GBR,27.2,200194,,,Francoise Durr,R,162,FRA,23.0,6-3 6-8 6-4,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,8,200810,,,Annette Van Zyl,R,180,RSA,22.2,200835,,,Janine Lieffrig,R,,FRA,27.7,6-2 6-3,3,SF,,,,,,,,,,,,,,,,,,,,,,,
1966-1001,Port Elizabeth,Hard,,W,19651227,9,200810,,,Annette Van Zyl,R,180,RSA,22.2,200193,,,Ann Jones,L,,GBR,27.2,0-6 6-1 6-3,3,F,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,1,200782,,,Esme Emmanuel,U,,RSA,18.5,200796,,,Sally Holdsworth,U,,GBR,21.8,6-1 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,2,200835,,,Janine Lieffrig,R,,FRA,27.7,200887,,,Trudy Groenman,L,,NED,21.9,7-5 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,3,200845,,,Patricia Walkden,R,,RSA,19.8,224151,,,Elly Krokke,U,,RSA,,6-1 4-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,4,200193,,,Ann Jones,L,,GBR,27.2,216622,,,Valerie Forbes,U,,RSA,28.8,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,5,200810,,,Annette Van Zyl,R,180,RSA,22.2,200782,,,Esme Emmanuel,U,,RSA,18.5,7-5 6-2,3,QF,,,,,,,,,,,,,,,,,,,,,,,
1966-1002,East London,Hard,,W,19660103,6,200835,,,Janine Lieffrig,R,,FRA,27.7,200845,,,Patricia Walkden,R,,RSA,19.8,14-12 5-7 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
