player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
113190,Bobby,Riggs,U,,USA,,
200000,X,X,U,19000000,UNK,,
200001,Martina,Hingis,R,19800930,SUI,170,Q134720
200002,Mirjana,Lucic,R,19820309,CRO,181,Q239686
200003,Justine,Henin,R,19820601,BEL,167,Q11682
200004,Kerry Anne,Guse,R,19721204,AUS,159,Q516757
200005,Jolene,Watanabe,R,19680831,USA,,Q1702635
200006,Karina,Habsudova,R,19730802,SVK,170,Q269278
200007,Silvija,Talaja,R,19780114,CRO,173,Q271692
200008,Alicia,Molik,R,19810127,AUS,182,Q232922
200009,Tamarine,Tanasugarn,R,19770524,THA,165,Q144555
200010,Rita,Grande,R,19750323,ITA,177,Q264551
200011,Katarina,Srebotnik,R,19810312,SLO,180,Q229116
200012,Jana,Nejedly,R,19740609,CAN,175,Q2908430
200013,Angelica,Gavaldon,R,19731003,MEX,,Q2283377
200014,Tzipi,Obziler,R,19730419,ISR,172,Q867533
200015,Petra,Mandula,R,19780117,HUN,178,Q258965
200016,Sandrine,Testud,R,19720403,FRA,176,Q259026
200017,Arantxa,Sanchez Vicario,R,19711218,ESP,168,Q188080
200018,Julia,Abe,R,19760521,GER,,Q1503174
200019,Alexandra,Fusai,R,19731122,FRA,176,Q468226
200020,Lisa,Raymond,R,19730810,USA,165,Q10129
200021,Alexia,Dechaume Balleret,R,19700503,FRA,,Q748769
200022,Emmanuelle,Gagliardi,R,19760709,SUI,171,Q254686
200023,Bryanne,Stewart,R,19791209,AUS,174,Q456729
200024,Maria,Vento Kabchi,R,19740524,VEN,168,Q254260
200025,Ludmila,Cervanova,R,19791015,SVK,171,Q591648
200026,Florencia,Labat,L,19710612,ARG,170,Q455165
200027,Magui,Serna,L,19790301,ESP,167,Q271740
200028,Maureen,Drake,R,19710321,CAN,175,Q2777538
200029,Lisa,Mcshea,R,19741029,AUS,174,Q3242430
200030,Miroslava,Vavrinec,R,19780401,SUI,173,Q233306
200031,Meilen,Tu,R,19780117,USA,163,Q265572
200032,Barbara,Schett,R,19760310,AUT,176,Q259647
200033,Serena,Williams,R,19810926,USA,175,Q11459
200034,Amanda,Grahame,L,19790325,AUS,,Q33027005
200035,Maria,Sanchez Lorenzo,R,19771107,ESP,171,Q522197
200036,Nicole,Pratt,R,19730305,AUS,163,Q271711
200037,Sabine,Appelmans,L,19720422,BEL,168,Q239791
200038,Annabel,Ellwood,R,19780202,AUS,165,Q2382889
200039,Chanda,Rubin,R,19760218,USA,168,Q237894
200040,Anna,Smashnova,R,19760716,ISR,157,Q233521
200041,Amy,Frazier,R,19720919,USA,175,Q254340
200042,Els,Callens,R,19700820,BEL,178,Q260112
200043,Virginie,Razzano,R,19830512,FRA,173,Q220425
200044,Denisa,Chladkova,R,19790208,CZE,174,Q271728
200045,Tara,Snyder,R,19770526,USA,175,Q301072
200046,Meghann,Shaughnessy,R,19790413,USA,180,Q54652
200047,Pavlina,Nola,R,19740714,NZL,,Q629984
200048,Elena,Likhovtseva,R,19750908,RUS,174,Q233231
200049,Conchita,Martinez,R,19720416,ESP,170,Q232618
200050,Sandra,Kleinova,R,19780508,CZE,177,Q3471919
200051,Irina,Spirlea,R,19740326,ROU,175,Q265927
200052,Olga,Barabanschikova,R,19791102,BLR,172,Q452832
200053,Lubomira,Bacheva,R,19750307,BUL,,Q3242109
200054,Sylvia,Plischke,R,19770720,AUT,177,Q432729
200055,Mariana,Diaz Oliva,R,19760311,ARG,172,Q2307635
200056,Jelena,Kostanic Tosic,L,19810706,CRO,168,Q233556
200057,Erika,De Lone,R,19721014,USA,,Q940235
200058,Anna,Foldenyi Dicker,R,19740822,HUN,165,Q4767019
200059,Ruxandra,Dragomir Ilie,R,19721024,ROU,168,Q273507
200060,Tathiana,Garbin,R,19770630,ITA,172,Q230235
200061,Gala,Leon Garcia,L,19731223,ESP,163,Q455239
200062,Kristina,Brandi,R,19770329,PUR,168,Q264544
