tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1955-1001,Wellington,,,W,19541227,1,227139,,,Judy Tinnock,U,,NZL,23.8,227733,,,Betty Nelson,U,,NZL,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,2,225417,,,Stephanie Field,U,,NZL,,228972,,,Pat Catley,U,,NZL,,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,3,229742,,,Evelyn Attwood,U,,NZL,,227736,,,Dolly King,U,,NZL,,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,4,229743,,,Enid Wentzell,U,,NZL,,229744,,,Joyce Catley,U,,NZL,,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,5,229745,,,Lynn Luxton,U,,NZL,25.9,229746,,,Fay Laird,U,,NZL,,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,6,228200,,,Dawn Taylor,U,,NZL,,229747,,,Yolande Cresswell,U,,NZL,,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,7,223718,,,Elaine Stephan,U,,NZL,,229748,,,Val Henderson,U,,NZL,,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,8,227428,,,Pat Nettleton,U,,NZL,19.9,229749,,,Nancy Fleming,U,,NZL,,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,9,225868,,,Sonia Cox,U,,NZL,18.0,229750,,,Gwen Parsons,U,,NZL,,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,10,212632,,,Ruia Morrison,R,,NZL,18.6,229751,,,Iris Stuart,U,,NZL,,7-5 4-6 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,11,229752,,,Thyra Mcgregor,U,,NZL,,228919,,,Helen Dykes,U,,NZL,,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,12,224498,,,Heather Robson,U,,NZL,,229753,,,Betty Meyer,U,,NZL,,2-6 6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,13,227139,,,Judy Tinnock,U,,NZL,23.8,225417,,,Stephanie Field,U,,NZL,,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,14,229742,,,Evelyn Attwood,U,,NZL,,229743,,,Enid Wentzell,U,,NZL,,6-1 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,15,228200,,,Dawn Taylor,U,,NZL,,229745,,,Lynn Luxton,U,,NZL,25.9,6-2 4-6 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,16,223718,,,Elaine Stephan,U,,NZL,,229754,,,Mary Ann Dewes,U,,NZL,,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1955-1001,Wellington,,,W,19541227,17,227428,,,Pat Nettleton,U,,NZL,19.9,229755,,,Raewyn Dickson,U,,NZL,,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
