tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1981-D001,Fed Cup WG R2: NED vs ITA,Clay,4,D,19811109,1,200493,,,Marianne Van Der Torre,U,,NED,20.2272416153,200334,,,Sabina Simmonds,R,,ITA,21.5633127995,4-6 6-1 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D001,Fed Cup WG R2: NED vs ITA,Clay,4,D,19811109,2,200340,,,Marcella Mesker,U,,NED,22.4668035592,200986,,,Barbara Rossi,U,,ITA,20.4791238877,7-6 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D002,Fed Cup WG R2: GBR vs FRA,Clay,4,D,19811109,1,200237,,,Virginia Wade,R,,GBR,36.334017796,200395,,,Catherine Tanvier,U,,FRA,16.4517453799,6-2 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D002,Fed Cup WG R2: GBR vs FRA,Clay,4,D,19811109,2,200266,,,Sue Barker,R,165,GBR,25.5578370979,200386,,,Corinne Vanier,U,,FRA,18.1382614648,4-6 6-2 10-8,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D003,Fed Cup WG R1: CAN vs FRA,Clay,4,D,19811109,1,200395,,,Catherine Tanvier,U,,FRA,16.4517453799,201908,,,Karen Dewis,U,,CAN,19.1403148528,6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D003,Fed Cup WG R1: CAN vs FRA,Clay,4,D,19811109,2,200386,,,Corinne Vanier,U,,FRA,18.1382614648,201911,,,Nina Bland,U,,CAN,22.5544147844,6-4 6-7 7-5,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D004,Fed Cup WG R1: ITA vs YUG,Clay,4,D,19811109,1,200334,,,Sabina Simmonds,R,,ITA,21.5633127995,201003,,,Renata Sasak,U,,YUG,17.4045174538,7-6 6-1,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D004,Fed Cup WG R1: ITA vs YUG,Clay,4,D,19811109,2,200371,,,Mima Jausovec,U,,SLO,25.3059548255,200986,,,Barbara Rossi,U,,ITA,20.4791238877,6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D005,Fed Cup WG ConR: TCH vs ITA,Clay,4,D,19811109,1,200377,,,Helena Sukova,R,,CZE,16.7091033539,200334,,,Sabina Simmonds,R,,ITA,21.5633127995,2-6 6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D005,Fed Cup WG ConR: TCH vs ITA,Clay,4,D,19811109,2,200348,,,Hana Mandlikova,R,,AUS,19.7207392197,200986,,,Barbara Rossi,U,,ITA,20.4791238877,4-6 6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D006,Fed Cup WG ConR: PHI vs BRA,Clay,4,D,19811109,1,200406,,,Claudia Monteiro,U,,BRA,20.5065023956,212334,,,Gladys Imperial,U,,PHI,,6-1 6-0,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D006,Fed Cup WG ConR: PHI vs BRA,Clay,4,D,19811109,2,200962,,,Patricia Medrado,U,,BRA,24.9527720739,212434,,,Dyan Castillejo,U,,PHI,16.1505817933,6-1 6-3,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1981-D007,Fed Cup WG SF: AUS vs GBR,Clay,4,D,19811109,1,200221,,,Dianne Fromholtz,L,165,AUS,25.2484599589,200237,,,Virginia Wade,R,,GBR,36.334017796,6-3 6-2,3,RR,,,,,,,,,,,,,,,,,,,,,,,
